Object,Object Type ID,Property label,Internal name,Type,Field type,Read only,Unique lookup property,Categories,Options,Pipeline stages
Contact,0-1,Promo Participation,farrier_promo_participation,string,,False,False,equine_and_professional,,
Contact,0-1,Promo Participation Cost to Mustad,farrier_promo_participation_cost,string,,False,False,equine_and_professional,,
Contact,0-1,Prospecting agent enrollment status,hs_prospecting_agent_enrollment_status,enumeration,,True,False,customer_and_exclusion,Ready for Review [READY_FOR_REVIEW]; In Progress [IN_PROGRESS]; Researching [RESEARCHING]; Queued [QUEUED]; Errored [ERRORED]; Finished [FINISHED]; Unenrolled [UNENROLLED],
Contact,0-1,Quarantined Emails,hs_quarantined_emails,string,,True,False,identity_and_contact;quality_and_enrichment,,
Contact,0-1,Recent Closed Order Date,hs_recent_closed_order_date,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Recent Conversion,recent_conversion_event_name,string,,True,False,activity_and_freshness,,
Contact,0-1,Recent Conversion Date,recent_conversion_date,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Recent Deal Amount,recent_deal_amount,number,,True,False,activity_and_freshness,,
Contact,0-1,Recent Deal Close Date,recent_deal_close_date,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Recent Sales Email Clicked Date,hs_sales_email_last_clicked,datetime,,True,False,activity_and_freshness;identity_and_contact,,
Contact,0-1,Recent Sales Email Opened Date,hs_sales_email_last_opened,datetime,,True,False,activity_and_freshness;identity_and_contact,,
Contact,0-1,Recent Sales Email Replied Date,hs_sales_email_last_replied,datetime,,True,False,activity_and_freshness;identity_and_contact,,
Contact,0-1,Record ID,hs_object_id,number,,True,False,explicit_a2_candidate;external_ids_and_associations,,
Contact,0-1,Relationship Status,relationship_status,string,,False,False,customer_and_exclusion,,
Contact,0-1,Resale Profile Shares,owner_resale_profile_shares,number,,False,False,ownership_and_routing,,
Contact,0-1,Sample Product Name,sample_product_name,string,,False,False,identity_and_contact,,
Contact,0-1,Sample Product Type,farrier_sample_product_type,string,,False,False,equine_and_professional,,
Contact,0-1,Sample Products,farrier_sample_products,enumeration,,False,False,equine_and_professional,Front Shoe [Front Shoe]; Hind Shoe [Hind Shoe]; Nail [Nail]; Rasp [Rasp],
Contact,0-1,Sample Request State,sample_request_state,enumeration,,False,False,identity_and_contact,Alabama [alabama]; Alaska [alaska]; Arizona [arizona]; Arkansas [arkansas]; California [california]; Colorado [colorado]; Connecticut [connecticut]; Delaware [delaware]; Florida [florida]; Georgia [georgia]; Hawaii [hawaii]; Idaho [idaho]; Illinois [illinois]; Indiana [indiana]; Iowa [iowa]; Kansas [kansas]; Kentucky [kentucky]; Louisiana [louisiana]; Maine [maine]; Maryland [maryland]; Massachusetts [massachusetts]; Michigan [michigan]; Minnesota [minnesota]; Mississippi [mississippi]; Missouri [missouri]; Montana [montana]; Nebraska [nebraska]; Nevada [nevada]; New Hampshire [new_hampshire]; New Jersey [new_jersey]; New Mexico [new_mexico]; New York [new_york]; North Carolina [north_carolina]; North Dakota [north_dakota]; Ohio [ohio]; Oklahoma [oklahoma]; Oregon [oregon]; Pennsylvania [pennsylvania]; Rhode Island [rhode_island]; South Carolina [south_carolina]; South Dakota [south_dakota]; Tennessee [tennessee]; Texas [texas]; Utah [utah]; Vermont [vermont]; Virginia [virginia]; Washington [washington]; West Virginia [west_virginia]; Wisconsin [wisconsin]; Wyoming [wyoming]; Columbia [Columbia],
Contact,0-1,Sample Sent (Date),farrier_sample_date_sent,date,,False,False,equine_and_professional,,
Contact,0-1,Samples Sent (Count),farrier_samples_sent,number,,False,False,equine_and_professional,,
Contact,0-1,Secondary Email,secondary_email,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Secondary Phone Number,secondary_phone_number,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Sends Since Last Engagement,hs_email_sends_since_last_engagement,number,,True,False,activity_and_freshness;identity_and_contact,,
Contact,0-1,Shared teams,hs_shared_team_ids,enumeration,,False,False,ownership_and_routing,EQUINET Team [157764626]; Mustad USA Sales Team [184279571],
Contact,0-1,Shared users,hs_shared_user_ids,enumeration,,False,False,ownership_and_routing,Mohammad reza Asadi [36771337]; Lucija Batarelo [77926659]; Sharon Colvin [35787418]; Julie Durushia [35787459]; Tahmineh Goljan [34737828]; Hannah Goshorn [35051820]; Mustad HubSpot [35006795]; Kris Kibbey [35051818]; Fred Lang [35223608]; Rob Logsdon [35051851]; Hayley Moore [77926690]; Sample Request Mustad USA [36398228]; Rachel Otten [33209911]; allison Phleger [35051819]; shahin qoli [95099317]; Tim Shannon [35051817]; Lindsay Stafford [92300650]; Cetrix Support [50462861]; Todd Walker [35051821]; Faezeh Yazdani [91453469]; DAVID YORK [35051822],
Contact,0-1,Shipping Address Full,shipping_address_full,string,,False,False,identity_and_contact,,
Contact,0-1,SMS Opt-in,sms_opt_in,bool,,False,False,consent_and_suppression;explicit_a2_candidate,Yes [true]; No [false],
Contact,0-1,Stable / Farm Name,owner_stable_name,string,,False,False,equine_and_professional;explicit_a2_candidate;identity_and_contact;ownership_and_routing,,
Contact,0-1,Stable Type,stable_type,enumeration,,False,False,equine_and_professional;explicit_a2_candidate,Private Farm [Private Farm]; Boarding [Boarding]; Training [Training]; Breeding [Breeding]; Backyard [Backyard],
Contact,0-1,State/Region,state,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,State/Region Code,hs_state_code,string,,False,False,identity_and_contact,,
Contact,0-1,Street Address,address,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Subscription Status,subscription_status,enumeration,,False,False,customer_and_exclusion,Free [Free]; Trial [Trial]; Cancelled [Cancelled]; Expired [Expired],
Contact,0-1,Time enrolled in registration follow up emails,hs_content_membership_follow_up_enqueued_at,datetime,,True,False,identity_and_contact,,
Contact,0-1,Time registration email was sent,hs_content_membership_registration_email_sent_at,datetime,,True,False,identity_and_contact,,
Contact,0-1,Type of first engagement,hs_sa_first_engagement_object_type,enumeration,,True,False,activity_and_freshness,Call [CALL]; Conversation session [CONVERSATION_SESSION]; Email [EMAIL]; Meeting [MEETING_EVENT]; Task [TASK],
